category,scientific_name,conservation_status,common_names,park_name,observations
Vascular Plant,Frasera speciosa,Least Concern,"Green Gentian, Monument-Plant, Monument Plant, Elkweed, Deer Ears, Showy Frasera",Yosemite,122
Vascular Plant,Frasera speciosa,Least Concern,"Green Gentian, Monument-Plant, Monument Plant, Elkweed, Deer Ears, Showy Frasera",Bryce,72
Vascular Plant,Frasera speciosa,Least Concern,"Green Gentian, Monument-Plant, Monument Plant, Elkweed, Deer Ears, Showy Frasera",Yellowstone,220
Vascular Plant,Gentianopsis simplex,Least Concern,"Oneflower Fringed Gentian, Oneflower Gentian",Bryce,87
Vascular Plant,Gentianopsis simplex,Least Concern,"Oneflower Fringed Gentian, Oneflower Gentian",Yellowstone,271
Vascular Plant,Gentianopsis simplex,Least Concern,"Oneflower Fringed Gentian, Oneflower Gentian",Yosemite,173
Vascular Plant,Gentianopsis simplex,Least Concern,"Oneflower Fringed Gentian, Oneflower Gentian",Great Smoky Mountains,84
Vascular Plant,Dracocephalum parviflorum,Least Concern,American Dragonhead,Yellowstone,316
Vascular Plant,Dracocephalum parviflorum,Least Concern,American Dragonhead,Yosemite,116
Vascular Plant,Dracocephalum parviflorum,Least Concern,American Dragonhead,Great Smoky Mountains,95
Vascular Plant,Dracocephalum parviflorum,Least Concern,American Dragonhead,Bryce,80
Vascular Plant,Agastache urticifolia,Least Concern,"Horsemint Giant Hyssop, Nettleleaf Giant Hyssop",Great Smoky Mountains,57
Vascular Plant,Agastache urticifolia,Least Concern,"Horsemint Giant Hyssop, Nettleleaf Giant Hyssop",Bryce,95
Vascular Plant,Agastache urticifolia,Least Concern,"Horsemint Giant Hyssop, Nettleleaf Giant Hyssop",Yellowstone,236
Vascular Plant,Agastache urticifolia,Least Concern,"Horsemint Giant Hyssop, Nettleleaf Giant Hyssop",Yosemite,144
Vascular Plant,Isoetes occidentalis,Least Concern,Western Quillwort,Bryce,116
Vascular Plant,Isoetes occidentalis,Least Concern,Western Quillwort,Yosemite,145
Vascular Plant,Isoetes occidentalis,Least Concern,Western Quillwort,Great Smoky Mountains,83
Vascular Plant,Isoetes occidentalis,Least Concern,Western Quillwort,Yellowstone,284
Vascular Plant,Isoetes echinospora,Least Concern,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",Yosemite,123
Vascular Plant,Isoetes echinospora,Least Concern,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",Yellowstone,258
Vascular Plant,Isoetes echinospora,Least Concern,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",Great Smoky Mountains,86
Vascular Plant,Isoetes echinospora,Least Concern,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",Bryce,84
Vascular Plant,Isoetes bolanderi,Least Concern,Bolander's Quillwort,Yellowstone,240
Vascular Plant,Isoetes bolanderi,Least Concern,Bolander's Quillwort,Bryce,113
Vascular Plant,Isoetes bolanderi,Least Concern,Bolander's Quillwort,Great Smoky Mountains,72
Vascular Plant,Isoetes bolanderi,Least Concern,Bolander's Quillwort,Yosemite,131
Vascular Plant,Geranium viscosissimum var. viscosissimum,Least Concern,Sticky Purple Geranium,Yosemite,178
Vascular Plant,Geranium viscosissimum var. viscosissimum,Least Concern,Sticky Purple Geranium,Great Smoky Mountains,75
Vascular Plant,Geranium viscosissimum var. viscosissimum,Least Concern,Sticky Purple Geranium,Bryce,90
Vascular Plant,Geranium viscosissimum var. viscosissimum,Least Concern,Sticky Purple Geranium,Yellowstone,248
Vascular Plant,Geranium viscosissimum var. nervosum,Least Concern,Sticky Purple Geranium,Yellowstone,272
Vascular Plant,Geranium viscosissimum var. nervosum,Least Concern,Sticky Purple Geranium,Bryce,101
Vascular Plant,Geranium viscosissimum var. nervosum,Least Concern,Sticky Purple Geranium,Yosemite,163
Vascular Plant,Geranium viscosissimum var. nervosum,Least Concern,Sticky Purple Geranium,Great Smoky Mountains,115
Vascular Plant,Geranium richardsonii,Least Concern,Richardson's Geranium,Yellowstone,271
Vascular Plant,Geranium richardsonii,Least Concern,Richardson's Geranium,Yosemite,126
Vascular Plant,Geranium richardsonii,Least Concern,Richardson's Geranium,Bryce,90
Vascular Plant,Geranium richardsonii,Least Concern,Richardson's Geranium,Great Smoky Mountains,34
Vascular Plant,Gentianella tenella,Least Concern,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",Yosemite,106
Vascular Plant,Gentianella tenella,Least Concern,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",Great Smoky Mountains,102
Vascular Plant,Gentianella tenella,Least Concern,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",Bryce,88
Vascular Plant,Gentianella tenella,Least Concern,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",Yellowstone,260
Vascular Plant,Geranium bicknellii,Least Concern,"Bicknell's Cranesbill, Northern Crane's-Bill",Great Smoky Mountains,56
Vascular Plant,Geranium bicknellii,Least Concern,"Bicknell's Cranesbill, Northern Crane's-Bill",Yosemite,141
Vascular Plant,Geranium bicknellii,Least Concern,"Bicknell's Cranesbill, Northern Crane's-Bill",Yellowstone,259
Vascular Plant,Geranium bicknellii,Least Concern,"Bicknell's Cranesbill, Northern Crane's-Bill",Bryce,116
Vascular Plant,Kelloggia galioides,Least Concern,"Milky Kelloggia, Milk Kelloggia",Yellowstone,246
Vascular Plant,Kelloggia galioides,Least Concern,"Milky Kelloggia, Milk Kelloggia",Great Smoky Mountains,76
Vascular Plant,Kelloggia galioides,Least Concern,"Milky Kelloggia, Milk Kelloggia",Bryce,127
Vascular Plant,Kelloggia galioides,Least Concern,"Milky Kelloggia, Milk Kelloggia",Yosemite,150
Vascular Plant,Galium verum,Least Concern,Yellow Spring Bedstraw,Yosemite,132
Vascular Plant,Galium verum,Least Concern,Yellow Spring Bedstraw,Great Smoky Mountains,75
Vascular Plant,Galium verum,Least Concern,Yellow Spring Bedstraw,Yellowstone,183
Vascular Plant,Galium verum,Least Concern,Yellow Spring Bedstraw,Bryce,121
Vascular Plant,Galium trifidum,Least Concern,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Yosemite,141
Vascular Plant,Galium trifidum,Least Concern,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Bryce,97
Vascular Plant,Galium trifidum,Least Concern,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Yellowstone,228
Vascular Plant,Galium trifidum,Least Concern,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Great Smoky Mountains,127
Vascular Plant,Galium mollugo,Least Concern,False Baby's Breath,Yellowstone,210
Vascular Plant,Galium mollugo,Least Concern,False Baby's Breath,Great Smoky Mountains,98
Vascular Plant,Galium mollugo,Least Concern,False Baby's Breath,Bryce,109
Vascular Plant,Galium mollugo,Least Concern,False Baby's Breath,Yosemite,146
Vascular Plant,Galium boreale,Least Concern,Northern Bedstraw,Yellowstone,252
Vascular Plant,Galium boreale,Least Concern,Northern Bedstraw,Great Smoky Mountains,99
Vascular Plant,Galium boreale,Least Concern,Northern Bedstraw,Bryce,79
Vascular Plant,Galium boreale,Least Concern,Northern Bedstraw,Yosemite,137
Vascular Plant,Galium bifolium,Least Concern,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",Bryce,40
Vascular Plant,Galium bifolium,Least Concern,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",Yellowstone,238
Vascular Plant,Galium bifolium,Least Concern,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",Yosemite,159
Vascular Plant,Galium bifolium,Least Concern,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",Great Smoky Mountains,65
Vascular Plant,Swertia perennis,Least Concern,"Star Gentian, Alpinebog Swertia, Felwort",Great Smoky Mountains,85
Vascular Plant,Swertia perennis,Least Concern,"Star Gentian, Alpinebog Swertia, Felwort",Bryce,121
Vascular Plant,Swertia perennis,Least Concern,"Star Gentian, Alpinebog Swertia, Felwort",Yellowstone,232
Vascular Plant,Swertia perennis,Least Concern,"Star Gentian, Alpinebog Swertia, Felwort",Yosemite,168
Vascular Plant,Oxytropis campestris var. cusickii,Least Concern,Cusick's Locoweed,Bryce,70
Vascular Plant,Oxytropis campestris var. cusickii,Least Concern,Cusick's Locoweed,Yellowstone,235
Vascular Plant,Oxytropis campestris var. cusickii,Least Concern,Cusick's Locoweed,Yosemite,130
Vascular Plant,Oxytropis campestris var. cusickii,Least Concern,Cusick's Locoweed,Great Smoky Mountains,55
Vascular Plant,Oxytropis borealis var. viscida,Least Concern,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",Yellowstone,217
Vascular Plant,Oxytropis borealis var. viscida,Least Concern,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",Great Smoky Mountains,76
Vascular Plant,Oxytropis borealis var. viscida,Least Concern,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",Bryce,117
Vascular Plant,Oxytropis borealis var. viscida,Least Concern,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",Yosemite,130
Vascular Plant,Onobrychis viciifolia,Least Concern,"Sainfoin, Common Sainfoin",Great Smoky Mountains,78
Vascular Plant,Onobrychis viciifolia,Least Concern,"Sainfoin, Common Sainfoin",Bryce,99
Vascular Plant,Onobrychis viciifolia,Least Concern,"Sainfoin, Common Sainfoin",Yosemite,141
Vascular Plant,Onobrychis viciifolia,Least Concern,"Sainfoin, Common Sainfoin",Yellowstone,261
Vascular Plant,Astragalus canadensis var. brevidens,Least Concern,Shorttooth Canadian Milkvetch,Bryce,106
Vascular Plant,Astragalus canadensis var. brevidens,Least Concern,Shorttooth Canadian Milkvetch,Yosemite,158
Vascular Plant,Astragalus canadensis var. brevidens,Least Concern,Shorttooth Canadian Milkvetch,Great Smoky Mountains,90
Vascular Plant,Astragalus canadensis var. brevidens,Least Concern,Shorttooth Canadian Milkvetch,Yellowstone,227
Vascular Plant,Astragalus australis var. glabriusculus,Least Concern,Aboriginal Milkvetch,Bryce,115
Vascular Plant,Astragalus australis var. glabriusculus,Least Concern,Aboriginal Milkvetch,Great Smoky Mountains,68
Vascular Plant,Astragalus australis var. glabriusculus,Least Concern,Aboriginal Milkvetch,Yosemite,144
Vascular Plant,Astragalus australis var. glabriusculus,Least Concern,Aboriginal Milkvetch,Yellowstone,237
Vascular Plant,Astragalus americanus,Least Concern,"American Milkvetch, American Milk-Vetch",Bryce,107
Vascular Plant,Astragalus americanus,Least Concern,"American Milkvetch, American Milk-Vetch",Yellowstone,211
Vascular Plant,Astragalus americanus,Least Concern,"American Milkvetch, American Milk-Vetch",Yosemite,174
Vascular Plant,Astragalus americanus,Least Concern,"American Milkvetch, American Milk-Vetch",Great Smoky Mountains,89
Vascular Plant,Astragalus alpinus,Least Concern,Alpine Milkvetch,Great Smoky Mountains,82
Vascular Plant,Astragalus alpinus,Least Concern,Alpine Milkvetch,Bryce,99
Vascular Plant,Astragalus alpinus,Least Concern,Alpine Milkvetch,Yellowstone,252
Vascular Plant,Astragalus alpinus,Least Concern,Alpine Milkvetch,Yosemite,156
Vascular Plant,Astragalus agrestis,Least Concern,"Field Milkvetch, Cock's-Head, Purple Milkvetch",Yosemite,151
Vascular Plant,Astragalus agrestis,Least Concern,"Field Milkvetch, Cock's-Head, Purple Milkvetch",Bryce,93
Vascular Plant,Astragalus agrestis,Least Concern,"Field Milkvetch, Cock's-Head, Purple Milkvetch",Yellowstone,236
Vascular Plant,Astragalus agrestis,Least Concern,"Field Milkvetch, Cock's-Head, Purple Milkvetch",Great Smoky Mountains,74
Vascular Plant,Primula incana,Least Concern,"Silvery Primrose, Hoary Primrose",Yosemite,136
Vascular Plant,Primula incana,Least Concern,"Silvery Primrose, Hoary Primrose",Bryce,82
Vascular Plant,Primula incana,Least Concern,"Silvery Primrose, Hoary Primrose",Yellowstone,240
Vascular Plant,Primula incana,Least Concern,"Silvery Primrose, Hoary Primrose",Great Smoky Mountains,92
Vascular Plant,Lysimachia thyrsiflora,Least Concern,"Water Loosestrife, Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife",Yellowstone,228
Vascular Plant,Lysimachia thyrsiflora,Least Concern,"Water Loosestrife, Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife",Great Smoky Mountains,53
Vascular Plant,Lysimachia thyrsiflora,Least Concern,"Water Loosestrife, Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife",Yosemite,151
Vascular Plant,Lysimachia thyrsiflora,Least Concern,"Water Loosestrife, Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife",Bryce,88
Vascular Plant,Glaux maritima,Least Concern,Sea-Milkwort,Yellowstone,215
Vascular Plant,Glaux maritima,Least Concern,Sea-Milkwort,Yosemite,116
Vascular Plant,Glaux maritima,Least Concern,Sea-Milkwort,Great Smoky Mountains,34
Vascular Plant,Glaux maritima,Least Concern,Sea-Milkwort,Bryce,98
Vascular Plant,Astragalus cibarius,Least Concern,Browse Milkvetch,Yosemite,153
Vascular Plant,Astragalus cibarius,Least Concern,Browse Milkvetch,Great Smoky Mountains,94
Vascular Plant,Astragalus cibarius,Least Concern,Browse Milkvetch,Yellowstone,246
Vascular Plant,Astragalus cibarius,Least Concern,Browse Milkvetch,Bryce,85
Vascular Plant,Douglasia montana,Least Concern,Rocky Mountain Dwarf-Primrose,Bryce,75
Vascular Plant,Douglasia montana,Least Concern,Rocky Mountain Dwarf-Primrose,Great Smoky Mountains,47
Vascular Plant,Douglasia montana,Least Concern,Rocky Mountain Dwarf-Primrose,Yellowstone,236
Vascular Plant,Douglasia montana,Least Concern,Rocky Mountain Dwarf-Primrose,Yosemite,117
Vascular Plant,Androsace occidentalis,Least Concern,"Western Rock-Jasmine, Western Rockjasmine",Yellowstone,248
Vascular Plant,Androsace occidentalis,Least Concern,"Western Rock-Jasmine, Western Rockjasmine",Great Smoky Mountains,50
Vascular Plant,Androsace occidentalis,Least Concern,"Western Rock-Jasmine, Western Rockjasmine",Yosemite,120
Vascular Plant,Androsace occidentalis,Least Concern,"Western Rock-Jasmine, Western Rockjasmine",Bryce,77
Vascular Plant,Androsace filiformis,Least Concern,"Slender Rockjasmine, Slender-Stemmed Androsace, Filiform Rockjasmine",Yellowstone,265
Vascular Plant,Androsace filiformis,Least Concern,"Slender Rockjasmine, Slender-Stemmed Androsace, Filiform Rockjasmine",Great Smoky Mountains,87
Vascular Plant,Androsace filiformis,Least Concern,"Slender Rockjasmine, Slender-Stemmed Androsace, Filiform Rockjasmine",Yosemite,150
Vascular Plant,Androsace filiformis,Least Concern,"Slender Rockjasmine, Slender-Stemmed Androsace, Filiform Rockjasmine",Bryce,116
Vascular Plant,Polemonium viscosum,Least Concern,"Sticky Jacob's-Ladder, Sticky Polemonium",Yosemite,184
Vascular Plant,Polemonium viscosum,Least Concern,"Sticky Jacob's-Ladder, Sticky Polemonium",Bryce,104
Vascular Plant,Polemonium viscosum,Least Concern,"Sticky Jacob's-Ladder, Sticky Polemonium",Yellowstone,217
Vascular Plant,Polemonium viscosum,Least Concern,"Sticky Jacob's-Ladder, Sticky Polemonium",Great Smoky Mountains,107
Vascular Plant,Polemonium occidentale,Least Concern,"Western Polemonium, Western Jacob's-Ladder",Yellowstone,255
Vascular Plant,Polemonium occidentale,Least Concern,"Western Polemonium, Western Jacob's-Ladder",Great Smoky Mountains,54
Vascular Plant,Polemonium occidentale,Least Concern,"Western Polemonium, Western Jacob's-Ladder",Yosemite,143
Vascular Plant,Polemonium occidentale,Least Concern,"Western Polemonium, Western Jacob's-Ladder",Bryce,104
Vascular Plant,Polemonium micranthum,Least Concern,"Annual Jacob's-Ladder, Annual Polemonium, Littlebell Jacob's-Ladder",Bryce,89
Vascular Plant,Polemonium micranthum,Least Concern,"Annual Jacob's-Ladder, Annual Polemonium, Littlebell Jacob's-Ladder",Great Smoky Mountains,83
Vascular Plant,Polemonium micranthum,Least Concern,"Annual Jacob's-Ladder, Annual Polemonium, Littlebell Jacob's-Ladder",Yosemite,148
Vascular Plant,Polemonium micranthum,Least Concern,"Annual Jacob's-Ladder, Annual Polemonium, Littlebell Jacob's-Ladder",Yellowstone,256
Vascular Plant,Phlox pulvinata,Least Concern,"Powder Phlox, Cushion Phlox",Great Smoky Mountains,70
Vascular Plant,Phlox pulvinata,Least Concern,"Powder Phlox, Cushion Phlox",Yellowstone,248
Vascular Plant,Phlox pulvinata,Least Concern,"Powder Phlox, Cushion Phlox",Yosemite,171
Vascular Plant,Phlox pulvinata,Least Concern,"Powder Phlox, Cushion Phlox",Bryce,97
Vascular Plant,Phlox multiflora,Least Concern,"Flowery Phlox, Rocky Mountain Phlox",Bryce,93
Vascular Plant,Phlox multiflora,Least Concern,"Flowery Phlox, Rocky Mountain Phlox",Yosemite,157
Vascular Plant,Phlox multiflora,Least Concern,"Flowery Phlox, Rocky Mountain Phlox",Great Smoky Mountains,75
Vascular Plant,Phlox multiflora,Least Concern,"Flowery Phlox, Rocky Mountain Phlox",Yellowstone,296
Vascular Plant,Phlox hoodii,Least Concern,"Hood's Phlox, Spiny Phlox",Great Smoky Mountains,101
Vascular Plant,Phlox hoodii,Least Concern,"Hood's Phlox, Spiny Phlox",Yosemite,135
Vascular Plant,Phlox hoodii,Least Concern,"Hood's Phlox, Spiny Phlox",Bryce,98
Vascular Plant,Phlox hoodii,Least Concern,"Hood's Phlox, Spiny Phlox",Yellowstone,251
Vascular Plant,Dodecatheon conjugens,Least Concern,Bonneville Shootingstar,Great Smoky Mountains,75
Vascular Plant,Dodecatheon conjugens,Least Concern,Bonneville Shootingstar,Yosemite,152
Vascular Plant,Dodecatheon conjugens,Least Concern,Bonneville Shootingstar,Yellowstone,240
Vascular Plant,Dodecatheon conjugens,Least Concern,Bonneville Shootingstar,Bryce,89
Vascular Plant,Astragalus cicer,Least Concern,"Cicer Milkvetch, Chickpea Milkvetch",Yosemite,149
Vascular Plant,Astragalus cicer,Least Concern,"Cicer Milkvetch, Chickpea Milkvetch",Yellowstone,249
Vascular Plant,Astragalus cicer,Least Concern,"Cicer Milkvetch, Chickpea Milkvetch",Bryce,119
Vascular Plant,Astragalus cicer,Least Concern,"Cicer Milkvetch, Chickpea Milkvetch",Great Smoky Mountains,87
Vascular Plant,Astragalus crassicarpus var. paysonii,Least Concern,"Payson's Milkvetch, Groundplum Milkvetch, Mountain Groundplum",Great Smoky Mountains,45
Vascular Plant,Astragalus crassicarpus var. paysonii,Least Concern,"Payson's Milkvetch, Groundplum Milkvetch, Mountain Groundplum",Yosemite,167
Vascular Plant,Astragalus crassicarpus var. paysonii,Least Concern,"Payson's Milkvetch, Groundplum Milkvetch, Mountain Groundplum",Yellowstone,257
Vascular Plant,Astragalus crassicarpus var. paysonii,Least Concern,"Payson's Milkvetch, Groundplum Milkvetch, Mountain Groundplum",Bryce,85
Vascular Plant,Astragalus drummondii,Least Concern,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Yosemite,153
Vascular Plant,Astragalus drummondii,Least Concern,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Bryce,74
Vascular Plant,Astragalus drummondii,Least Concern,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Yellowstone,230
Vascular Plant,Astragalus drummondii,Least Concern,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Great Smoky Mountains,79
Vascular Plant,Lupinus sericeus,Least Concern,"Silky Lupine, Pursh's Silky Lupine",Yosemite,117
Vascular Plant,Lupinus sericeus,Least Concern,"Silky Lupine, Pursh's Silky Lupine",Bryce,134
Vascular Plant,Lupinus sericeus,Least Concern,"Silky Lupine, Pursh's Silky Lupine",Yellowstone,244
Vascular Plant,Lupinus sericeus,Least Concern,"Silky Lupine, Pursh's Silky Lupine",Great Smoky Mountains,44
Vascular Plant,Lupinus argenteus var. laxiflorus,Least Concern,Silvery Lupine,Yellowstone,226
Vascular Plant,Lupinus argenteus var. laxiflorus,Least Concern,Silvery Lupine,Bryce,93
Vascular Plant,Lupinus argenteus var. laxiflorus,Least Concern,Silvery Lupine,Yosemite,159
Vascular Plant,Lupinus argenteus var. laxiflorus,Least Concern,Silvery Lupine,Great Smoky Mountains,109
Vascular Plant,Lupinus argenteus var. argenteus,Least Concern,"Silvery Lupine, Silver-Stem Lupine",Bryce,58
Vascular Plant,Lupinus argenteus var. argenteus,Least Concern,"Silvery Lupine, Silver-Stem Lupine",Great Smoky Mountains,95
Vascular Plant,Lupinus argenteus var. argenteus,Least Concern,"Silvery Lupine, Silver-Stem Lupine",Yosemite,126
Vascular Plant,Lupinus argenteus var. argenteus,Least Concern,"Silvery Lupine, Silver-Stem Lupine",Yellowstone,271
Vascular Plant,Hedysarum sulphurescens,Least Concern,White Sweetvetch,Yosemite,143
Vascular Plant,Hedysarum sulphurescens,Least Concern,White Sweetvetch,Great Smoky Mountains,102
Vascular Plant,Hedysarum sulphurescens,Least Concern,White Sweetvetch,Bryce,130
Vascular Plant,Hedysarum sulphurescens,Least Concern,White Sweetvetch,Yellowstone,261
Vascular Plant,Hedysarum occidentale,Least Concern,Western Sweetvetch,Bryce,142
Vascular Plant,Hedysarum occidentale,Least Concern,Western Sweetvetch,Yosemite,157
Vascular Plant,Hedysarum occidentale,Least Concern,Western Sweetvetch,Yellowstone,222
